Receive ID,Data Size,Phase Values (deg),Received Power (dBm),time of arrival (sec),doa_phi(),doa_theta(deg),dod_phi(deg),dod_theta(deg),rx_x,rx_y,rx_z
243,5,"[72.1708, 37.2537, 154.188, 179.693, -167.751]","[-95.4076, -100.944, -125.589, -140.676, -145.688]","[2.60378e-07, 2.73719e-07, 8.79281e-07, 8.83308e-07, 2.84967e-07]","[-149.335, -149.335, 91.0066, 91.0074, -2.065]","[1.69243, 178.39, 73.1255, 108.045, 28.3346]","[30.6645, 30.6645, 90.0989, 90.0997, 1.86991]","[178.308, 178.39, 107.556, 108.045, 159.279]",192.728,159.826,2
246,5,"[-174.106, 50.1113, -158.167, 14.4025, -122.129]","[-123.987, -124.331, -130.952, -133.625, -134.214]","[4.22609e-07, 4.30922e-07, 5.72098e-07, 4.82525e-07, 3.12679e-07]","[-0.663401, -0.67501, 109.316, -113.727, -178.158]","[53.2776, 129.416, 64.2839, 59.2014, 20.6704]","[0.67887, 0.67501, 71.0826, -65.2131, 1.20229]","[128.438, 129.416, 118.371, 124.47, 141.138]",240.728,159.826,2
247,5,"[168.681, 41.2668, 169.185, -166.493, 61.6932]","[-97.7504, -110.821, -117.73, -121.002, -121.207]","[3.40918e-07, 3.51214e-07, 3.81935e-07, 3.91152e-07, 3.41067e-07]","[-178.979, -178.979, -0.803928, -0.803928, -179.006]","[40.2333, 141.221, 47.044, 134.387, 42.3188]","[1.02056, 1.02008, 0.803928, 0.803928, 1.03914]","[139.767, 141.139, 132.956, 134.387, 141.139]",256.728,159.826,2
262,5,"[-122.897, 153.751, 97.1592, -62.4334, -147.844]","[-97.6604, -104.665, -113.632, -117.678, -128.816]","[3.37408e-07, 3.47807e-07, 3.87836e-07, 3.96916e-07, 3.87957e-07]","[-15.4798, -15.4798, -167.124, -167.124, -166.389]","[39.5235, 141.876, 47.8505, 133.578, 44.3708]","[164.52, 164.52, 168.715, 168.715, 168.829]","[140.477, 141.876, 132.15, 133.578, 131.574]",128.728,175.826,2
263,5,"[-160.586, 29.0593, -18.7292, -4.0624, 134.661]","[-120.692, -126.075, -130.708, -133.056, -136.386]","[4.8363e-07, 3.08155e-07, 4.90941e-07, 5.16796e-07, 5.18083e-07]","[-119.257, -24.2118, -119.257, 117.345, 121.428]","[57.4424, 27.2992, 123.871, 59.7608, 59.8437]","[-160.303, 160.915, -160.303, 139.282, 141.314]","[122.558, 145.54, 123.871, 120.239, 120.156]",144.728,175.826,2
266,5,"[-166.625, -93.7699, -46.2986, -76.5305, 178.821]","[-95.6123, -108.427, -111.549, -132.859, -141.966]","[2.66581e-07, 2.79627e-07, 8.28429e-07, 8.28511e-07, 2.90821e-07]","[-96.584, -96.584, 91.0758, 91.0784, -23.255]","[12.4981, 168.094, 71.6895, 70.825, 30.4923]","[83.416, 83.416, 90.0314, 90.0336, 29.2516]","[167.502, 168.094, 108.31, 107.556, 156.496]",192.728,175.826,2
269,5,"[-144.726, -0.190538, 70.4267, 167.009, 109.53]","[-106.499, -124.206, -132.287, -134.662, -140.113]","[5.27942e-07, 5.34647e-07, 5.28154e-07, 3.17801e-07, 5.28761e-07]","[111.781, 111.781, 112.187, -152.825, 115.857]","[60.4634, 120.781, 58.678, 23.0975, 60.5137]","[69.0866, 69.0866, 69.3994, 16.3608, 72.3823]","[119.537, 120.781, 118.112, 140.033, 119.486]",240.728,175.826,2
270,5,"[-83.6063, -22.1178, 62.997, 131.396, 156.577]","[-97.871, -104.076, -106.998, -108.785, -110.341]","[3.4568e-07, 3.55837e-07, 3.67847e-07, 5.47514e-07, 3.55837e-07]","[-165.41, -165.41, -12.7363, 117.689, -165.414]","[41.1573, 140.257, 44.9653, 61.6175, 140.242]","[14.5905, 14.5905, 12.7363, 63.1794, 14.5937]","[138.843, 140.257, 135.035, 118.383, 140.268]",256.728,175.826,2
285,5,"[-20.3979, -157.815, -23.929, 162.577, -92.8061]","[-97.9901, -104.726, -107.704, -113.92, -124.417]","[3.50448e-07, 3.60471e-07, 4.00136e-07, 4.08943e-07, 4.57765e-07]","[-28.1439, -28.1439, -157.264, -157.264, 108.508]","[42.0413, 139.379, 49.4253, 131.995, 55.3505]","[151.856, 151.856, 158.855, 158.855, 141.314]","[137.959, 139.379, 130.575, 131.995, 124.649]",128.728,191.826,2
286,5,"[14.1632, -168.134, -174.162, 55.4382, 24.7753]","[-108.446, -114.843, -125.74, -128.863, -128.962]","[3.682e-07, 3.682e-07, 3.22242e-07, 3.77753e-07, 5.24906e-07]","[53.875, 53.8558, -30.6122, 53.875, -112.092]","[45.0204, 44.9941, 33.5909, 136.412, 60.2755]","[126.125, 126.119, 141.458, 126.125, -160.303]","[134.98, 134.971, 142.448, 136.412, 119.725]",144.728,191.826,2
287,5,"[-81.9989, 95.47, -53.0776, -119.384, 147.799]","[-106.516, -112.84, -115.112, -125.498, -134.88]","[3.49323e-07, 3.49323e-07, 3.59378e-07, 3.00511e-07, 5.41885e-07]","[64.5406, 64.5249, 64.5406, -42.0783, 36.6504]","[41.8364, 41.807, 139.583, 26.6502, 61.2954]","[115.459, 115.455, 115.459, 129.259, 72.3823]","[138.164, 138.154, 139.583, 148.195, 118.705]",160.728,191.826,2
288,5,"[-13.4436, -9.22827, 23.9195, 75.1549, 161.885]","[-96.2438, -104.026, -112.372, -128.519, -134.817]","[2.86669e-07, 2.98839e-07, 7.78753e-07, 2.88956e-07, 3.38552e-07]","[-67.0945, -67.0945, 86.9837, -95.1802, 87.5886]","[24.7844, 156.288, 70.4757, 25.7492, 39.7576]","[112.906, 112.906, 94.1234, 122.873, 105.551]","[155.216, 156.288, 109.524, 154.251, 140.242]",176.728,191.826,2
289,5,"[-101.981, -34.6555, -76.4919, -8.72095, 88.1912]","[-96.1289, -101.694, -112.083, -132.37, -135.309]","[2.82905e-07, 2.9523e-07, 7.77935e-07, 3.0602e-07, 3.17121e-07]","[-93.4197, -93.4197, 91.1541, -39.3865, -41.0283]","[23.0781, 157.937, 70.4544, 35.0989, 147.58]","[86.5803, 86.5803, 89.953, 47.2853, 46.12]","[156.922, 157.937, 109.546, 150.693, 151.225]",192.728,191.826,2
290,5,"[-70.6986, -143.596, -116.945, -123.214, -31.7865]","[-96.3178, -106.774, -112.593, -117.763, -130.352]","[2.89122e-07, 3.01193e-07, 7.80775e-07, 8.51085e-07, 2.92749e-07]","[-118.459, -118.459, 95.3123, -94.096, -88.6571]","[25.8172, 155.289, 70.5283, 72.1935, 27.2477]","[61.5405, 61.5405, 85.7948, 86.2472, 48.1525]","[154.183, 155.289, 109.472, 107.806, 152.752]",208.728,191.826,2
291,5,"[75.6965, -112.771, 161.118, 152.4, 126.53]","[-96.7743, -103.874, -122.466, -131.387, -133.549]","[3.04711e-07, 3.04711e-07, 3.16244e-07, 3.68175e-07, 3.58831e-07]","[-135.688, -135.579, -137.427, 117.904, 115.777]","[31.3356, 31.404, 150.904, 137.295, 48.6195]","[44.3115, 44.2426, 45.4619, 62.7573, 62.0765]","[148.664, 148.707, 149.226, 138.232, 138.05]",224.728,191.826,2
292,5,"[-31.1931, 96.5268, -91.3222, 47.5661, 90.064]","[-97.4235, -108.088, -110.734, -122.374, -122.81]","[3.28338e-07, 3.28343e-07, 4.85828e-07, 4.71371e-07, 4.63752e-07]","[-146.426, -145.966, 114.549, 28.2575, 28.4337]","[37.5642, 37.8131, 57.6078, 125.483, 56.017]","[33.5739, 33.2818, 66.3187, 32.0154, 31.9599]","[142.436, 142.591, 122.392, 125.483, 124.189]",240.728,191.826,2
293,5,"[168.14, 70.9169, 10.61, -86.2228, -177.176]","[-98.1856, -104.795, -107.595, -114.918, -114.946]","[3.58418e-07, 3.80793e-07, 3.68225e-07, 3.90037e-07, 3.68225e-07]","[-153.307, -25.56, -153.307, -25.56, -153.346]","[43.4357, 46.8839, 137.992, 134.547, 137.922]","[26.6929, 23.3134, 26.6929, 23.3134, 26.7204]","[136.564, 133.116, 137.992, 134.547, 138.042]",256.728,191.826,2
308,5,"[-63.4744, -12.1747, 65.8738, 7.77514, -3.30245]","[-98.4806, -104.533, -113.409, -113.853, -114.027]","[3.70788e-07, 3.89478e-07, 3.9852e-07, 3.80275e-07, 8.47021e-07]","[-38.4118, -145.508, -145.508, -38.4118, 59.5442]","[45.4185, 48.0687, 133.359, 136.014, 72.1052]","[141.588, 145.508, 145.508, 141.588, 120.488]","[134.581, 131.931, 133.359, 136.014, 107.895]",128.728,207.826,2
309,5,"[-157.919, -79.316, -175.435, 30.8312, -173.024]","[-97.825, -104.006, -105.594, -118.885, -120.896]","[3.43858e-07, 3.54067e-07, 4.24717e-07, 4.33025e-07, 4.2474e-07]","[-46.9, -46.9, -150.733, -150.733, -149.396]","[40.8088, 140.603, 52.2082, 129.187, 52.2106]","[133.1, 133.1, 150.733, 150.733, 151.157]","[139.191, 140.603, 127.792, 129.187, 127.789]",144.728,207.826,2
312,5,"[-126.041, 14.9292, 98.9183, 146.337, -173.234]","[-96.8604, -102.264, -113.458, -120.347, -140.446]","[3.07742e-07, 3.19109e-07, 7.27854e-07, 5.14548e-07, 4.44107e-07]","[-92.3085, -92.3085, 91.2448, 152.272, 48.0907]","[32.2505, 149.028, 69.0485, 59.6148, 54.1235]","[87.6915, 87.6915, 89.8624, 75.0516, 72.3823]","[147.749, 149.028, 110.951, 120.385, 125.876]",192.728,207.826,2
313,5,"[-145.051, -129.063, -171.506, -122.216, -87.8474]","[-97.0206, -103.494, -116.832, -119.513, -125.25]","[3.13467e-07, 3.24634e-07, 3.13544e-07, 3.24708e-07, 3.13603e-07]","[-110.086, -110.086, 111.079, 111.079, 164.207]","[33.8728, 147.44, 33.8939, 147.42, 33.9099]","[69.9136, 69.9136, 69.9307, 69.9307, 70.0]","[146.127, 147.44, 146.106, 147.42, 146.09]",208.728,207.826,2
314,5,"[-72.1296, 148.215, 106.436, 121.3, -62.9203]","[-97.4119, -107.101, -110.082, -116.332, -117.093]","[3.279e-07, 3.28443e-07, 3.38591e-07, 3.65568e-07, 3.65568e-07]","[-124.646, 125.477, -124.646, -81.0404, -80.9533]","[37.4645, 37.5879, 143.909, 138.489, 138.457]","[55.3538, 55.5331, 55.3538, 28.0201, 28.0751]","[142.535, 142.412, 143.909, 138.434, 138.457]",224.728,207.826,2
315,5,"[-136.414, -1.85522, -28.4186, 142.316, -114.493]","[-97.9781, -104.628, -110.27, -122.391, -137.163]","[3.49965e-07, 3.60002e-07, 4.46135e-07, 4.5405e-07, 3.54594e-07]","[-135.466, -135.466, 118.059, 118.059, -127.743]","[41.9537, 139.467, 54.3117, 127.056, 50.6799]","[44.5337, 44.5337, 62.8092, 62.8092, 36.2539]","[138.046, 139.467, 125.688, 127.056, 144.546]",240.728,207.826,2
316,5,"[20.4046, -169.787, -89.6128, -75.8731, 149.01]","[-98.6557, -109.746, -112.948, -120.956, -137.217]","[3.7833e-07, 3.87633e-07, 3.96429e-07, 4.05317e-07, 3.82776e-07]","[-143.304, -143.304, -33.3632, -33.3632, -135.48]","[46.5336, 134.898, 48.9649, 132.458, 54.1876]","[36.6964, 36.6964, 33.2742, 33.2742, 28.8559]","[133.466, 134.898, 131.035, 132.458, 139.161]",256.728,207.826,2
330,5,"[140.904, -81.315, 100.816, 158.33, 41.825]","[-116.441, -127.123, -128.643, -137.088, -140.714]","[4.40906e-07, 4.41012e-07, 4.57092e-07, 4.29578e-07, 4.64822e-07]","[42.9909, 46.6744, -49.8061, -20.5162, -49.8061]","[53.8221, 53.8322, 55.2923, 52.7093, 126.06]","[137.009, 137.667, 134.497, 137.608, 134.497]","[126.178, 126.168, 124.708, 127.291, 126.06]",112.728,223.826,2
331,5,"[163.002, -65.5909, 51.652, -18.8756, -78.7546]","[-99.0812, -106.544, -107.011, -112.145, -114.21]","[3.97308e-07, 4.06177e-07, 4.14805e-07, 7.34721e-07, 7.22531e-07]","[-46.4222, -46.4222, -137.678, 111.445, 71.5846]","[49.0751, 132.348, 51.1387, 69.2534, 68.8868]","[133.578, 133.578, 137.678, 110.644, 107.614]","[130.925, 132.348, 128.861, 110.747, 111.113]",128.728,223.826,2
